"TANDIL BACKEND — API INDEX (each row = one unique API: METHOD + path; duplicates from Postman removed)",,,,,,,
,,,,,,,
"HOW TO USE THIS FILE",,,,,,,
"Sort or filter by column ""Audience"" for Client, Admin, Supervisor, etc. Use ""Postman root folder"" to jump to the same top folder in Postman.",,,,,,,
,,,,,,,
"WHERE EACH USER TYPE STARTS IN POSTMAN (folder numbers match tandil_backend.json)",,,,,,,
"Shared / entry","Folder ""1. Health Check - START HERE"" (health check first; wallet summaries listed here are shared across roles).",,,,,,,
"All roles","Folder ""2. Authentication"" (register, login, password, email verification).",,,,,,,
Client,"Folders ""3."" through ""8."" (profile, subscriptions, banners, visits, reports, shop & orders; payments under ""8."").",,,,,,,
Technician,"Folder ""9. Technician Dashboard – All APIs"".",,,,,,,
Supervisor,"Folder ""10. Supervisor Dashboard – All APIs"".",,,,,,,
"Area Manager","Folder ""11. Area Manager Dashboard – All APIs"".",,,,,,,
"HR Manager","Folder ""12. HR Manager Dashboard – All APIs"".",,,,,,,
Admin,"Folders ""13."" through ""16."" (stats & users, reports, support tickets, settings).",,,,,,,
"Cross-role / other","Folder ""17. Other Modules"" (e.g. notifications hub, shared utilities).",,,,,,,
,,,,,,,
"Sr. No.",Audience,"Postman root folder",Name,"Module (full path in Postman)",Methods,Endpoint,Status
1,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Health Check","1. Health Check - START HERE",GET,/api/health,Active
2,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Debug Performance","1. Health Check - START HERE",GET,/api/debug/performance,Active
3,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Get Preferred Language","1. Health Check - START HERE > Language APIs (All Dashboards)",GET,/api/user/language,Active
4,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Update Preferred Language","1. Health Check - START HERE > Language APIs (All Dashboards)",POST,/api/user/language,Active
5,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","List localized articles","1. Health Check - START HERE > Localized articles (multilingual demo)",GET,/api/localized-articles,Active
6,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Get localized article (welcome-guide)","1. Health Check - START HERE > Localized articles (multilingual demo)",GET,/api/localized-articles/welcome-guide,Active
7,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Admin Wallet Overview","1. Health Check - START HERE > Admin Wallet APIs",GET,/api/admin/wallet/overview,Active
8,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Admin Wallet Credits Ledger","1. Health Check - START HERE > Admin Wallet APIs",GET,/api/admin/wallet/credits,Active
9,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Admin Wallet Client Detail","1. Health Check - START HERE > Admin Wallet APIs",GET,/api/admin/wallet/users/{{user_id}},Active
,"--- Authentication — all roles (register, login, …) ---",,,,,,
10,"Authentication — all roles (register, login, …)","2. Notifications – All roles (hub)","Delivery analytics","2. Notifications – All roles (hub) > Admin – /api/admin/notifications",GET,/api/admin/notifications/delivery-stats,Active
11,"Authentication — all roles (register, login, …)","2. Notifications – All roles (hub)","Broadcast send","2. Notifications – All roles (hub) > Admin – /api/admin/notifications",POST,/api/admin/notifications/broadcast,Active
12,"Authentication — all roles (register, login, …)","2. Notifications – All roles (hub)","Broadcasts list","2. Notifications – All roles (hub) > Admin – /api/admin/notifications",GET,/api/admin/notifications/broadcasts,Active
13,"Authentication — all roles (register, login, …)","2. Notifications – All roles (hub)","Broadcast detail","2. Notifications – All roles (hub) > Admin – /api/admin/notifications",GET,/api/admin/notifications/broadcasts/{{broadcast_id}},Active
14,"Authentication — all roles (register, login, …)","2. Notifications – All roles (hub)","Statics list (with filters)","2. Notifications – All roles (hub) > Admin – /api/admin/notifications",GET,/api/admin/notifications,Active
